Volcano_Number,Volcano_Name,Primary_Volcano_Type,Latitude,Longitude,Elevation
343010,"Amaya, Ausoles de",Thermal of Apaneca Range,NULL,NULL,NULL
342140,"Amayo, Volcán",Synonym of Flores,NULL,NULL,NULL
221090,Amaytoli,Synonym of Ale Bagu,NULL,NULL,NULL
300300,Bolshoi Payalpan,Shield(s),55.88,157.78,1906
300150,Bolshoi Semiachik,Stratovolcano(es),54.32,160.02,1720
300360,Bolshoi-Kekuknaysky,Shield(s),56.483,157.917,1401
354006,Ambato,Synonym of Ampato,NULL,NULL,NULL
234000,Boomerang Seamount,Submarine,-37.721,77.825,-650
264100,Amboelombo,Synonym of Ebulobo,NULL,NULL,NULL
233014,Ambohibe,Dome of Itasy Volcanic Field,NULL,NULL,NULL
233014,Ambohimalala,Cone of Itasy Volcanic Field,NULL,NULL,NULL
233014,Ambohitritainerina,Cone of Itasy Volcanic Field,NULL,NULL,NULL
233014,Ambohitrondry,Cone of Itasy Volcanic Field,NULL,NULL,NULL
233015,Amboniloha,Cone of Vakinankaratra,NULL,NULL,NULL
221071,Bora Ale,Stratovolcano,13.725,40.6,668
257040,Ambrim,Synonym of Ambrym,NULL,NULL,NULL
386020,Bouvet,Shield,-54.408,3.351,741
264100,Amburembu,Synonym of Ebulobo,NULL,NULL,NULL
264100,Amburombu,Synonym of Ebulobo,NULL,NULL,NULL
290100,Ameba,Dome of Moyorodake [Medvezhia],NULL,NULL,NULL
390023,Ames Range,Synonym of Andrus,NULL,NULL,NULL
283010,Amgai Highlands-Higashi,Vent of Izu-Tobu,NULL,NULL,NULL
311390,Amiak,Synonym of Amak,NULL,NULL,NULL
360060,Amic,Crater of Soufrière Guadeloupe,NULL,NULL,NULL
360060,"Amic, Morne",Dome of Soufrière Guadeloupe,NULL,NULL,NULL
283240,Amikake Spa,Thermal of Iwatesan,NULL,NULL,NULL
290320,Amka-Usyr,Synonym of Nemo Peak,NULL,NULL,NULL
221170,Amoissa,Synonym of Adwa,NULL,NULL,NULL
341080,"Amoloc, Volcán",Pyroclastic cone of Chichinautzin,NULL,NULL,NULL
257010,Amor,Stratovolcano of Suretamatai,NULL,NULL,NULL
233014,Ampary,Dome of Itasy Volcanic Field,NULL,NULL,NULL
233015,Ampasimihaiky,Cone of Vakinankaratra,NULL,NULL,NULL
354006,Ampato,Stratovolcano of Sabancaya,NULL,NULL,NULL
323120,Amphitheater Crater,Crater of Mono-Inyo Craters,NULL,NULL,NULL
390040,Bridgeman Island,Stratovolcano,-62.061,-56.717,240
311190,Amuchta,Synonym of Amukta,NULL,NULL,NULL
231001,"Amud, Jabal al",Cone of Harrat Ash Shamah,NULL,NULL,NULL
390080,Bristol Island,Stratovolcano,-59.017,-26.533,1100
302030,Amutychi,Pyroclastic cone of Udokan Plateau,NULL,NULL,NULL
284030,Anagi-yama,Synonym of Anano-yama,NULL,NULL,NULL
257030,Anagona,Cone of Ambae,NULL,NULL,NULL
262000,Anak Krakatau,Cone of Krakatau,NULL,NULL,NULL
264071,Anak Ranakah,Dome of Ranakah,NULL,NULL,NULL
356011,"Anakena, Volcán",Pyroclastic cone of Easter Island,NULL,NULL,NULL
356011,"Anamarama, Maunga",Pyroclastic cone of Easter Island,NULL,NULL,NULL
311070,Anangusik,Synonym of Gareloi,NULL,NULL,NULL
283010,Ananokubo,Tuff ring of Izu-Tobu,NULL,NULL,NULL
283010,Anano-yama,Dome of Izu-Tobu,NULL,NULL,NULL
284030,Anano-yama,Dome of Kozushima,NULL,NULL,NULL
244040,Anaota,Cone of Savai'i,NULL,NULL,NULL
272080,Anas,Thermal of Biliran,NULL,NULL,NULL
241150,Brothers,Submarine,-34.875,179.075,-1350
257110,Anatom,Synonym of Aneityum,NULL,NULL,NULL
390010,Buckle Island,Stratovolcano,-66.78,163.25,1239
352002,Anburo,Dome of Chachimbiro,NULL,NULL,NULL
210020,"Anchal, Maar d'",Maar of Chaine des Puys,NULL,NULL,NULL
221122,Andabi Gabalti,Cone of Manda-Inakir,NULL,NULL,NULL
354004,Andagua Valley,Synonym of Andahua-Orcopampa,NULL,NULL,NULL
354004,Andahua Valley,Synonym of Andahua-Orcopampa,NULL,NULL,NULL
311010,Buldir,Stratovolcano,52.35,175.911,656
354007,"Andes, Cerro los","Cone of Chachani, Nevado",NULL,NULL,NULL
213001,Andikli Tepe,Cone of Karapinar Field,NULL,NULL,NULL
213001,Andikli-Ayirtmeke Tepe,Cone of Karapinar Field,NULL,NULL,NULL
263290,Andjasmoro,Stratovolcano of Arjuno-Welirang,NULL,NULL,NULL
233015,Andraikiba,Crater of Vakinankaratra,NULL,NULL,NULL
233014,Andranojavatra,Cone of Itasy Volcanic Field,NULL,NULL,NULL
233014,Andranoratsy,Crater of Itasy Volcanic Field,NULL,NULL,NULL
233014,Andranotoraha,Crater of Itasy Volcanic Field,NULL,NULL,NULL
212050,Andreas,Vent of Nisyros,NULL,NULL,NULL
357022,Andres,Stratovolcano of Palomo,NULL,NULL,NULL
222030,Andrew's Cone,"Stratovolcano of Barrier, The",NULL,NULL,NULL
314060,Andromeda Cone,Cone of Imuruk Lake,NULL,NULL,NULL
358070,"Burney, Monte",Stratovolcano,-52.33,-73.4,1758
283001,Anduke,Pyroclastic cone of Abu,NULL,NULL,NULL
315001,Buzzard Creek,Tuff ring(s),64.062,-148.433,830
257110,Anetchom,Synonym of Aneityum,NULL,NULL,NULL
211070,Anfitrite,Submarine crater of Campi Flegrei del Mar di Sicilia,NULL,NULL,NULL
225060,Angalafib,Cone of Bayuda Volcanic Field,NULL,NULL,NULL
222021,"Angar, Gof",Maar of Marsabit,NULL,NULL,NULL
233014,Angavo,Dome of Itasy Volcanic Field,NULL,NULL,NULL
252010,Angila,Cone of Langila,NULL,NULL,NULL
360101,"Anglais, Morne","Stratovolcano of Watt, Morne",NULL,NULL,NULL
264170,Angnjioman,Synonym of Angnyioman,NULL,NULL,NULL
264170,Angnyioman,Thermal of Ilimuda,NULL,NULL,NULL
